"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 3, 5
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\package.json", "JSON", 0, 0, 54, 0, 0, 0, 0, 1, 55
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\public\index.html", "HTML", 0, 0, 0, 18, 0, 0, 23, 1, 42
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\App.js", "JavaScript", 73, 0, 0, 0, 0, 0, 2, 7, 82
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\assets\images\undraw_connected_world_wuay.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\components\header\header.css", "CSS", 0, 0, 0, 0, 15, 0, 1, 2, 18
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\components\header\header.js", "JavaScript", 165, 0, 0, 0, 0, 0, 8, 21, 194
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\contexts\tokenContext.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\index.js", "JavaScript", 17, 0, 0, 0, 0, 0, 5, 3, 25
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\applyVacation.js", "JavaScript", 157, 0, 0, 0, 0, 0, 5, 19, 181
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\checkProgress.js", "JavaScript", 129, 0, 0, 0, 0, 0, 2, 10, 141
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\checkSchedule.js", "JavaScript", 91, 0, 0, 0, 0, 0, 63, 10, 164
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\doctorMain.js", "JavaScript", 47, 0, 0, 0, 0, 0, 8, 4, 59
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\historicalRecord.js", "JavaScript", 90, 0, 0, 0, 0, 0, 51, 10, 151
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\leaveDetail.js", "JavaScript", 63, 0, 0, 0, 0, 0, 2, 4, 69
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\list\inspectList.js", "JavaScript", 70, 0, 0, 0, 0, 0, 2, 8, 80
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\list\prescriptionList.js", "JavaScript", 77, 0, 0, 0, 0, 0, 1, 10, 88
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\myradio.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\patientAppointment.js", "JavaScript", 168, 0, 0, 0, 0, 0, 89, 15, 272
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\patientHistory.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 8, 83
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\pictureWall.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 11, 65
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\select\myselect.js", "JavaScript", 51, 0, 0, 0, 0, 0, 13, 8, 72
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\select\myselect2.js", "JavaScript", 51, 0, 0, 0, 0, 0, 13, 8, 72
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\doctorSystem\visitInterface.js", "JavaScript", 219, 0, 0, 0, 0, 0, 64, 24, 307
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\landing\conferences.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 7, 82
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\landing\homepage.css", "CSS", 0, 0, 0, 0, 116, 0, 0, 14, 130
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\landing\homepage.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 3, 79
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\landing\paper.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 5, 87
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\landing\recommend-conferences-card.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 22, 129
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\landing\recommend-journals-card.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 21, 128
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\landing\recommend-papers-card.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 15, 105
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\user\findPassword.css", "CSS", 0, 0, 0, 0, 79, 0, 4, 5, 88
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\user\findPassword.js", "JavaScript", 410, 0, 0, 0, 0, 0, 6, 36, 452
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\user\loginAndRegister.css", "CSS", 0, 0, 0, 0, 152, 0, 15, 8, 175
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\user\loginAndRegister.js", "JavaScript", 527, 0, 0, 0, 0, 0, 50, 35, 612
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\user\recover-password.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 18, 146
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\pages\user\reset-password.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 18, 160
"c:\Users\w1305\Desktop\软工_预约系统\care-compass-frontend\src\routes\default_router.js", "JavaScript", 69, 0, 0, 0, 0, 0, 4, 8, 81
"Total", "-", 3446, 2, 79, 18, 362, 1, 431, 411, 4750